Name,Class,Total_Marks,Obtained_Marks,Percentage,Grade
Student_1442,7th Grade,25,25,100.0,A
Student_1518,7th Grade,25,20,80.0,A
Student_1582,7th Grade,100,47,47.0,F
Student_734,7th Grade,100,58,57.99999999999999,F
Student_117,6th Grade,100,36,36.0,F
Student_497,7th Grade,100,62,62.0,C
Student_886,7th Grade,25,25,100.0,A
Student_1037,6th Grade,100,83,83.0,A
Student_1146,7th Grade,25,22,88.0,A
Student_190,8th Grade,100,89,89.0,A
Student_1731,7th Grade,50,34,68.0,C+
Student_517,8th Grade,50,38,76.0,B+
Student_1150,6th Grade,50,50,100.0,A
Student_1353,6th Grade,25,23,92.0,A
Student_1658,7th Grade,100,22,22.0,F
Student_848,6th Grade,50,42,84.0,A
Student_429,7th Grade,100,42,42.0,F
Student_1892,7th Grade,25,24,96.0,A
Student_140,6th Grade,25,20,80.0,A
Student_459,7th Grade,50,34,68.0,C+
Student_761,6th Grade,50,50,100.0,A
Student_98,8th Grade,50,21,42.0,F
Student_1079,7th Grade,50,25,50.0,F
Student_656,7th Grade,100,20,20.0,F
Student_197,8th Grade,100,95,95.0,A
Student_472,7th Grade,100,80,80.0,A
Student_1824,8th Grade,100,56,56.00000000000001,F
Student_80,7th Grade,50,26,52.0,F
Student_1209,6th Grade,25,25,100.0,A
Student_1993,8th Grade,100,49,49.0,F
Student_1333,8th Grade,25,24,96.0,A
Student_408,7th Grade,25,20,80.0,A
Student_358,8th Grade,50,41,82.0,A
Student_1290,7th Grade,25,24,96.0,A
Student_461,6th Grade,50,23,46.0,F
Student_1839,6th Grade,50,50,100.0,A
Student_151,7th Grade,50,30,60.0,C
Student_866,8th Grade,100,52,52.0,F
Student_633,8th Grade,100,87,87.0,A
Student_906,6th Grade,25,21,84.0,A
Student_1082,6th Grade,50,25,50.0,F
Student_305,6th Grade,100,95,95.0,A
Student_493,6th Grade,50,22,44.0,F
Student_620,8th Grade,25,25,100.0,A
Student_1713,7th Grade,25,22,88.0,A
Student_1358,6th Grade,25,21,84.0,A
Student_1524,8th Grade,50,20,40.0,F
Student_171,7th Grade,100,93,93.0,A
Student_1546,8th Grade,100,61,61.0,C
Student_1121,7th Grade,50,43,86.0,A
Student_755,7th Grade,50,47,94.0,A
Student_1500,6th Grade,100,80,80.0,A
Student_174,7th Grade,100,22,22.0,F
Student_588,6th Grade,25,20,80.0,A
Student_1667,6th Grade,50,20,40.0,F
Student_1279,8th Grade,25,24,96.0,A
Student_494,8th Grade,25,22,88.0,A
Student_774,8th Grade,50,47,94.0,A
Student_565,8th Grade,100,82,82.0,A
Student_127,8th Grade,50,30,60.0,C
Student_406,8th Grade,100,29,28.999999999999996,F
Student_251,8th Grade,100,64,64.0,C
Student_631,6th Grade,50,21,42.0,F
Student_1336,7th Grade,50,43,86.0,A
Student_1833,8th Grade,100,23,23.0,F
Student_1700,6th Grade,25,24,96.0,A
Student_1571,8th Grade,25,24,96.0,A
Student_391,7th Grade,100,35,35.0,F
Student_1471,6th Grade,100,32,32.0,F
Student_1966,7th Grade,100,21,21.0,F
Student_655,8th Grade,25,23,92.0,A
Student_322,8th Grade,25,23,92.0,A
Student_1147,6th Grade,50,32,64.0,C
Student_220,6th Grade,100,84,84.0,A
Student_312,8th Grade,50,40,80.0,A
Student_170,7th Grade,50,33,66.0,C+
Student_1281,7th Grade,25,25,100.0,A
Student_32,8th Grade,100,29,28.999999999999996,F
Student_36,7th Grade,100,36,36.0,F
Student_826,8th Grade,25,24,96.0,A
Student_1293,7th Grade,25,22,88.0,A
Student_498,6th Grade,25,21,84.0,A
Student_1846,8th Grade,25,21,84.0,A
Student_1380,7th Grade,100,28,28.000000000000004,F
Student_1715,6th Grade,100,58,57.99999999999999,F
Student_965,6th Grade,25,21,84.0,A
Student_175,8th Grade,50,49,98.0,A
Student_1166,8th Grade,50,41,82.0,A
Student_674,7th Grade,100,34,34.0,F
Student_834,7th Grade,25,20,80.0,A
Student_129,8th Grade,100,72,72.0,B
Student_1812,6th Grade,25,24,96.0,A
Student_1871,7th Grade,100,37,37.0,F
Student_559,8th Grade,100,73,73.0,B
Student_1155,8th Grade,25,23,92.0,A
Student_1755,7th Grade,100,36,36.0,F
Student_1641,7th Grade,100,54,54.0,F
Student_1914,8th Grade,100,66,66.0,C+
Student_917,8th Grade,50,35,70.0,B
Student_81,8th Grade,25,23,92.0,A
Student_1041,6th Grade,50,26,52.0,F
Student_1961,6th Grade,25,21,84.0,A
Student_658,8th Grade,25,23,92.0,A
Student_1267,7th Grade,50,25,50.0,F
Student_263,8th Grade,50,22,44.0,F
Student_50,7th Grade,50,39,78.0,B+
Student_1862,6th Grade,100,64,64.0,C
Student_609,8th Grade,100,60,60.0,C
Student_1268,7th Grade,50,21,42.0,F
Student_120,7th Grade,100,76,76.0,B+
Student_645,8th Grade,100,49,49.0,F
Student_958,6th Grade,100,70,70.0,B
Student_1754,6th Grade,100,32,32.0,F
Student_1269,8th Grade,100,55,55.00000000000001,F
Student_608,7th Grade,25,22,88.0,A
Student_1451,6th Grade,100,25,25.0,F
Student_1726,7th Grade,25,25,100.0,A
Student_1987,6th Grade,25,23,92.0,A
Student_1704,7th Grade,50,28,56.00000000000001,F
Student_1661,6th Grade,25,20,80.0,A
Student_724,6th Grade,50,42,84.0,A
Student_707,8th Grade,100,94,94.0,A
Student_206,8th Grade,50,23,46.0,F
Student_1062,7th Grade,50,44,88.0,A
Student_2,6th Grade,100,63,63.0,C
Student_650,8th Grade,100,64,64.0,C
Student_1893,7th Grade,50,41,82.0,A
Student_1890,8th Grade,50,28,56.00000000000001,F
Student_1161,8th Grade,100,94,94.0,A
Student_1270,6th Grade,25,25,100.0,A
Student_1847,8th Grade,25,23,92.0,A
Student_1001,8th Grade,50,41,82.0,A
Student_931,8th Grade,25,20,80.0,A
Student_1908,6th Grade,50,37,74.0,B
Student_423,6th Grade,50,28,56.00000000000001,F
Student_1905,7th Grade,50,31,62.0,C
Student_610,7th Grade,50,41,82.0,A
Student_124,8th Grade,25,22,88.0,A
Student_1698,8th Grade,100,72,72.0,B
Student_1200,6th Grade,25,24,96.0,A
Student_1933,6th Grade,50,21,42.0,F
Student_1020,8th Grade,100,80,80.0,A
Student_1450,6th Grade,100,76,76.0,B+
Student_18,7th Grade,25,21,84.0,A
Student_248,8th Grade,100,86,86.0,A
Student_46,8th Grade,25,23,92.0,A
Student_1157,8th Grade,50,46,92.0,A
Student_374,7th Grade,100,55,55.00000000000001,F
Student_336,6th Grade,50,23,46.0,F
Student_1834,6th Grade,25,24,96.0,A
Student_485,6th Grade,50,24,48.0,F
Student_652,6th Grade,100,26,26.0,F
Student_685,6th Grade,50,39,78.0,B+
Student_347,6th Grade,50,43,86.0,A
Student_1370,7th Grade,100,81,81.0,A
Student_1457,8th Grade,25,23,92.0,A
Student_342,7th Grade,100,53,53.0,F
Student_1308,7th Grade,50,47,94.0,A
Student_1107,8th Grade,50,24,48.0,F
Student_792,8th Grade,100,90,90.0,A
Student_6,6th Grade,25,25,100.0,A
Student_1766,8th Grade,25,25,100.0,A
Student_1009,8th Grade,25,22,88.0,A
Student_581,6th Grade,100,88,88.0,A
Student_1618,7th Grade,25,23,92.0,A
Student_1995,6th Grade,50,35,70.0,B
Student_360,6th Grade,100,76,76.0,B+
Student_1084,7th Grade,100,80,80.0,A
Student_937,7th Grade,100,84,84.0,A
Student_1745,6th Grade,25,24,96.0,A
Student_1660,7th Grade,25,24,96.0,A
Student_1968,8th Grade,25,22,88.0,A
Student_590,7th Grade,100,90,90.0,A
Student_659,8th Grade,100,92,92.0,A
Student_1257,8th Grade,100,57,56.99999999999999,F
Student_1523,8th Grade,25,25,100.0,A
Student_8,7th Grade,50,23,46.0,F
Student_1086,8th Grade,50,49,98.0,A
Student_1188,8th Grade,25,21,84.0,A
Student_1149,7th Grade,50,22,44.0,F
Student_1409,6th Grade,100,67,67.0,C+
Student_189,7th Grade,50,31,62.0,C
Student_1198,7th Grade,50,42,84.0,A
Student_1351,6th Grade,100,45,45.0,F
Student_1017,7th Grade,50,50,100.0,A
Student_304,6th Grade,50,22,44.0,F
Student_27,6th Grade,100,43,43.0,F
Student_1557,8th Grade,25,24,96.0,A
Student_939,8th Grade,50,36,72.0,B
Student_282,8th Grade,50,45,90.0,A
Student_719,6th Grade,25,25,100.0,A
Student_573,8th Grade,100,36,36.0,F
Student_258,6th Grade,25,20,80.0,A
Student_1709,8th Grade,50,27,54.0,F
Student_1680,7th Grade,100,37,37.0,F
Student_424,6th Grade,100,85,85.0,A
Student_1252,6th Grade,25,22,88.0,A
Student_44,6th Grade,50,23,46.0,F
Student_1801,6th Grade,100,38,38.0,F
Student_1515,6th Grade,50,38,76.0,B+
Student_981,8th Grade,100,25,25.0,F
Student_238,7th Grade,50,29,57.99999999999999,F
Student_1092,7th Grade,100,32,32.0,F
Student_1605,6th Grade,100,75,75.0,B+
Student_1027,7th Grade,25,21,84.0,A
Student_1668,7th Grade,100,57,56.99999999999999,F
Student_998,8th Grade,100,86,86.0,A
Student_566,7th Grade,100,93,93.0,A
Student_1927,6th Grade,50,50,100.0,A
Student_1077,8th Grade,50,36,72.0,B
Student_663,6th Grade,50,25,50.0,F
Student_1573,6th Grade,50,21,42.0,F
Student_693,8th Grade,100,82,82.0,A
Student_1633,7th Grade,100,86,86.0,A
Student_1468,8th Grade,25,25,100.0,A
Student_1083,6th Grade,100,86,86.0,A
Student_1615,8th Grade,25,23,92.0,A
Student_473,8th Grade,100,23,23.0,F
Student_1091,8th Grade,25,25,100.0,A
Student_1740,8th Grade,25,20,80.0,A
Student_1099,7th Grade,25,23,92.0,A
Student_1664,8th Grade,50,39,78.0,B+
Student_851,7th Grade,25,23,92.0,A
Student_341,6th Grade,25,22,88.0,A
Student_1287,8th Grade,50,33,66.0,C+
Student_397,7th Grade,25,22,88.0,A
Student_1321,8th Grade,50,26,52.0,F
Student_1042,8th Grade,100,28,28.000000000000004,F
Student_642,6th Grade,100,67,67.0,C+
Student_1791,8th Grade,50,37,74.0,B
Student_1699,6th Grade,50,42,84.0,A
Student_107,6th Grade,100,24,24.0,F
Student_1382,7th Grade,50,32,64.0,C
Student_78,8th Grade,25,23,92.0,A
Student_1366,8th Grade,100,59,59.0,F
Student_1088,6th Grade,50,47,94.0,A
Student_1472,7th Grade,100,64,64.0,C
Student_698,6th Grade,25,21,84.0,A
Student_1192,8th Grade,25,23,92.0,A
Student_577,6th Grade,25,24,96.0,A
Student_575,7th Grade,50,25,50.0,F
Student_1265,6th Grade,100,56,56.00000000000001,F
Student_1275,7th Grade,50,27,54.0,F
Student_1634,6th Grade,50,43,86.0,A
Student_1217,7th Grade,50,48,96.0,A
Student_163,7th Grade,50,24,48.0,F
Student_1072,6th Grade,25,21,84.0,A
Student_180,6th Grade,50,32,64.0,C
Student_451,6th Grade,50,31,62.0,C
Student_534,8th Grade,50,47,94.0,A
Student_889,6th Grade,50,34,68.0,C+
Student_1288,7th Grade,100,81,81.0,A
Student_591,8th Grade,25,22,88.0,A
Student_762,6th Grade,25,25,100.0,A
Student_695,6th Grade,100,88,88.0,A
Student_383,6th Grade,25,22,88.0,A
Student_923,7th Grade,25,24,96.0,A
Student_828,7th Grade,100,25,25.0,F
Student_543,8th Grade,100,38,38.0,F
Student_1677,8th Grade,25,25,100.0,A
Student_1527,6th Grade,50,28,56.00000000000001,F
Student_1775,7th Grade,25,25,100.0,A
Student_1820,7th Grade,25,24,96.0,A
Student_1831,6th Grade,50,35,70.0,B
Student_1502,8th Grade,25,21,84.0,A
Student_30,8th Grade,25,23,92.0,A
Student_1950,8th Grade,25,22,88.0,A
Student_1372,6th Grade,100,36,36.0,F
Student_1748,8th Grade,25,25,100.0,A
Student_750,7th Grade,50,25,50.0,F
Student_1249,6th Grade,50,37,74.0,B
Student_980,8th Grade,50,41,82.0,A
Student_1540,8th Grade,100,76,76.0,B+
Student_576,6th Grade,50,45,90.0,A
Student_1186,6th Grade,25,22,88.0,A
Student_1753,8th Grade,100,36,36.0,F
Student_1174,7th Grade,25,22,88.0,A
Student_1710,8th Grade,100,79,79.0,B+
Student_1478,7th Grade,100,100,100.0,A
Student_1324,8th Grade,100,53,53.0,F
Student_1023,8th Grade,100,44,44.0,F
Student_1815,6th Grade,50,30,60.0,C
Student_109,6th Grade,25,23,92.0,A
Student_519,6th Grade,25,23,92.0,A
Student_1202,6th Grade,100,78,78.0,B+
Student_987,6th Grade,50,39,78.0,B+
Student_1291,8th Grade,25,22,88.0,A
Student_435,7th Grade,50,36,72.0,B
Student_1415,6th Grade,50,44,88.0,A
Student_1012,7th Grade,100,21,21.0,F
Student_643,7th Grade,100,40,40.0,F
Student_1040,8th Grade,100,78,78.0,B+
Student_898,7th Grade,25,20,80.0,A
Student_1529,8th Grade,50,34,68.0,C+
Student_678,6th Grade,100,45,45.0,F
Student_1461,8th Grade,25,24,96.0,A
Student_1320,8th Grade,25,21,84.0,A
Student_1721,6th Grade,25,24,96.0,A
Student_1599,6th Grade,50,28,56.00000000000001,F
Student_974,7th Grade,25,20,80.0,A
Student_1742,6th Grade,50,29,57.99999999999999,F
Student_863,8th Grade,50,37,74.0,B
Student_1756,6th Grade,100,57,56.99999999999999,F
Student_1311,7th Grade,100,68,68.0,C+
Student_583,8th Grade,50,45,90.0,A
Student_1299,7th Grade,50,24,48.0,F
Student_1510,8th Grade,50,40,80.0,A
Student_1612,6th Grade,25,21,84.0,A
Student_135,8th Grade,25,23,92.0,A
Student_841,7th Grade,25,22,88.0,A
Student_1598,7th Grade,100,100,100.0,A
Student_1364,7th Grade,100,83,83.0,A
Student_1089,6th Grade,50,40,80.0,A
Student_1917,8th Grade,100,49,49.0,F
Student_375,7th Grade,25,20,80.0,A
Student_523,7th Grade,50,49,98.0,A
Student_686,6th Grade,50,32,64.0,C
Student_1741,6th Grade,100,82,82.0,A
Student_781,6th Grade,50,37,74.0,B
Student_70,6th Grade,50,42,84.0,A
Student_241,6th Grade,100,61,61.0,C
Student_1447,6th Grade,100,91,91.0,A
Student_294,6th Grade,25,20,80.0,A
Student_1053,7th Grade,100,61,61.0,C
Student_704,6th Grade,100,81,81.0,A
Student_1381,8th Grade,25,25,100.0,A
Student_539,7th Grade,50,46,92.0,A
Student_319,7th Grade,100,38,38.0,F
Student_727,6th Grade,50,33,66.0,C+
Student_1707,6th Grade,100,21,21.0,F
Student_351,8th Grade,25,25,100.0,A
Student_1919,6th Grade,25,23,92.0,A
Student_871,8th Grade,25,21,84.0,A
Student_908,8th Grade,25,24,96.0,A
Student_1085,7th Grade,50,20,40.0,F
Student_971,8th Grade,25,24,96.0,A
Student_1508,8th Grade,100,32,32.0,F
Student_1234,7th Grade,50,20,40.0,F
Student_741,7th Grade,50,37,74.0,B
Student_1413,7th Grade,25,23,92.0,A
Student_15,7th Grade,25,20,80.0,A
Student_1977,8th Grade,100,62,62.0,C
Student_187,8th Grade,50,50,100.0,A
Student_862,8th Grade,50,31,62.0,C
Student_607,7th Grade,100,39,39.0,F
Student_1858,6th Grade,100,88,88.0,A
Student_501,7th Grade,25,23,92.0,A
Student_1980,7th Grade,100,100,100.0,A
Student_1989,7th Grade,50,48,96.0,A
Student_194,6th Grade,25,22,88.0,A
Student_269,7th Grade,50,36,72.0,B
Student_676,8th Grade,100,92,92.0,A
Student_1747,7th Grade,25,25,100.0,A
Student_160,8th Grade,25,21,84.0,A
Student_1322,8th Grade,50,31,62.0,C
Student_490,6th Grade,50,35,70.0,B
Student_1868,8th Grade,100,42,42.0,F
Student_1148,8th Grade,50,46,92.0,A
Student_1978,8th Grade,100,36,36.0,F
Student_857,7th Grade,50,27,54.0,F
Student_586,6th Grade,50,36,72.0,B
Student_641,6th Grade,25,22,88.0,A
Student_797,6th Grade,25,22,88.0,A
Student_384,7th Grade,25,22,88.0,A
Student_1212,7th Grade,100,57,56.99999999999999,F
Student_580,7th Grade,25,20,80.0,A
Student_93,6th Grade,100,23,23.0,F
Student_362,8th Grade,25,25,100.0,A
Student_373,8th Grade,25,22,88.0,A
Student_1997,8th Grade,25,21,84.0,A
Student_1939,6th Grade,50,41,82.0,A
Student_1549,7th Grade,100,30,30.0,F
Student_563,6th Grade,100,43,43.0,F
Student_1059,6th Grade,50,41,82.0,A
Student_1808,7th Grade,100,54,54.0,F
Student_1943,6th Grade,100,83,83.0,A
Student_529,7th Grade,25,20,80.0,A
Student_74,7th Grade,50,44,88.0,A
Student_283,8th Grade,50,32,64.0,C
Student_515,6th Grade,50,42,84.0,A
Student_766,8th Grade,100,96,96.0,A
Student_72,7th Grade,100,26,26.0,F
Student_1585,7th Grade,25,24,96.0,A
Student_399,8th Grade,50,29,57.99999999999999,F
Student_1566,8th Grade,25,20,80.0,A
Student_571,8th Grade,25,24,96.0,A
Student_1711,7th Grade,50,38,76.0,B+
Student_1538,8th Grade,100,97,97.0,A
Student_1953,7th Grade,100,37,37.0,F
Student_1167,8th Grade,50,25,50.0,F
Student_172,7th Grade,100,65,65.0,C+
Student_1601,7th Grade,50,33,66.0,C+
Student_1301,8th Grade,25,20,80.0,A
Student_207,7th Grade,50,31,62.0,C
Student_1955,8th Grade,100,78,78.0,B+
Student_1577,7th Grade,100,36,36.0,F
Student_346,6th Grade,100,72,72.0,B
Student_526,6th Grade,25,24,96.0,A
Student_1309,8th Grade,25,24,96.0,A
Student_1095,6th Grade,25,25,100.0,A
Student_625,6th Grade,100,67,67.0,C+
Student_1385,7th Grade,100,95,95.0,A
Student_1118,8th Grade,50,35,70.0,B
Student_1771,6th Grade,50,50,100.0,A
Student_1926,6th Grade,50,42,84.0,A
Student_572,6th Grade,50,29,57.99999999999999,F
Student_389,6th Grade,50,41,82.0,A
Student_1297,7th Grade,100,70,70.0,B
Student_1289,6th Grade,50,30,60.0,C
Student_1685,8th Grade,100,42,42.0,F
Student_1918,6th Grade,100,44,44.0,F
Student_946,8th Grade,25,24,96.0,A
Student_1958,8th Grade,50,25,50.0,F
Student_355,6th Grade,100,76,76.0,B+
Student_89,7th Grade,100,91,91.0,A
Student_511,8th Grade,100,26,26.0,F
Student_1880,8th Grade,50,46,92.0,A
Student_126,6th Grade,50,38,76.0,B+
Student_895,7th Grade,25,24,96.0,A
Student_1576,6th Grade,50,46,92.0,A
Student_1505,6th Grade,25,25,100.0,A
Student_636,6th Grade,25,21,84.0,A
Student_1255,6th Grade,25,23,92.0,A
Student_1503,6th Grade,25,25,100.0,A
Student_492,7th Grade,100,81,81.0,A
Student_787,6th Grade,25,24,96.0,A
Student_364,7th Grade,50,48,96.0,A
Student_365,8th Grade,100,22,22.0,F
Student_148,8th Grade,50,39,78.0,B+
Student_832,7th Grade,100,58,57.99999999999999,F
Student_1797,7th Grade,25,24,96.0,A
Student_1822,8th Grade,25,21,84.0,A
Student_417,7th Grade,100,84,84.0,A
Student_1670,8th Grade,50,45,90.0,A
Student_300,7th Grade,100,88,88.0,A
Student_954,8th Grade,50,28,56.00000000000001,F
Student_1113,8th Grade,50,22,44.0,F
Student_933,8th Grade,25,21,84.0,A
Student_970,7th Grade,50,30,60.0,C
Student_725,6th Grade,100,27,27.0,F
Student_209,6th Grade,50,48,96.0,A
Student_52,6th Grade,100,47,47.0,F
Student_1081,8th Grade,100,86,86.0,A
Student_1189,8th Grade,25,24,96.0,A
Student_400,8th Grade,25,21,84.0,A
Student_469,6th Grade,25,20,80.0,A
Student_279,6th Grade,25,21,84.0,A
Student_812,7th Grade,50,50,100.0,A
Student_1013,6th Grade,50,49,98.0,A
Student_41,6th Grade,50,48,96.0,A
Student_122,8th Grade,25,20,80.0,A
Student_329,6th Grade,25,24,96.0,A
Student_983,7th Grade,50,34,68.0,C+
Student_1592,7th Grade,25,23,92.0,A
Student_1244,8th Grade,50,48,96.0,A
Student_111,8th Grade,100,94,94.0,A
Student_483,7th Grade,50,40,80.0,A
Student_616,6th Grade,50,40,80.0,A
Student_1393,8th Grade,50,27,54.0,F
Student_1581,7th Grade,25,25,100.0,A
Student_1609,8th Grade,50,37,74.0,B
Student_1482,6th Grade,25,20,80.0,A
Student_1807,8th Grade,25,23,92.0,A
Student_569,8th Grade,50,27,54.0,F
Student_825,8th Grade,50,40,80.0,A
Student_1477,6th Grade,50,32,64.0,C
Student_508,8th Grade,25,20,80.0,A
Student_10,8th Grade,50,47,94.0,A
Student_579,6th Grade,25,25,100.0,A
Student_1829,7th Grade,25,22,88.0,A
Student_361,7th Grade,50,29,57.99999999999999,F
Student_1271,6th Grade,100,45,45.0,F
Student_292,6th Grade,25,21,84.0,A
Student_840,6th Grade,100,99,99.0,A
Student_102,8th Grade,50,34,68.0,C+
Student_131,8th Grade,100,47,47.0,F
Student_1285,6th Grade,50,42,84.0,A
Student_1109,6th Grade,25,25,100.0,A
Student_611,8th Grade,25,23,92.0,A
Student_272,7th Grade,100,36,36.0,F
Student_806,8th Grade,50,43,86.0,A
Student_61,7th Grade,50,34,68.0,C+
Student_55,7th Grade,50,31,62.0,C
Student_868,8th Grade,25,20,80.0,A
Student_1784,7th Grade,25,24,96.0,A
Student_672,8th Grade,100,44,44.0,F
Student_1331,8th Grade,25,24,96.0,A
Student_33,7th Grade,100,54,54.0,F
Student_714,7th Grade,50,50,100.0,A
Student_66,7th Grade,50,25,50.0,F
Student_313,8th Grade,50,33,66.0,C+
Student_662,6th Grade,50,29,57.99999999999999,F
Student_564,8th Grade,25,21,84.0,A
Student_157,8th Grade,25,22,88.0,A
Student_1054,6th Grade,100,95,95.0,A
Student_1426,8th Grade,100,23,23.0,F
Student_1124,8th Grade,25,24,96.0,A
Student_1108,8th Grade,50,50,100.0,A
Student_64,7th Grade,50,21,42.0,F
Student_1974,7th Grade,25,23,92.0,A
Student_1094,7th Grade,50,23,46.0,F
Student_199,7th Grade,25,24,96.0,A
Student_1422,7th Grade,50,47,94.0,A
Student_1075,7th Grade,100,37,37.0,F
Student_1804,6th Grade,100,100,100.0,A
Student_1087,6th Grade,100,64,64.0,C
Student_255,6th Grade,25,22,88.0,A
Student_1141,8th Grade,100,80,80.0,A
Student_1999,8th Grade,25,24,96.0,A
Student_1552,8th Grade,50,20,40.0,F
Student_246,8th Grade,25,22,88.0,A
Student_307,6th Grade,50,38,76.0,B+
Student_1525,7th Grade,25,20,80.0,A
Student_1653,8th Grade,100,74,74.0,B
Student_1140,8th Grade,100,62,62.0,C
Student_1786,7th Grade,100,39,39.0,F
Student_722,8th Grade,25,25,100.0,A
Student_334,8th Grade,50,27,54.0,F
Student_1907,6th Grade,50,20,40.0,F
Student_1911,7th Grade,100,92,92.0,A
Student_1156,6th Grade,25,22,88.0,A
Student_959,6th Grade,50,41,82.0,A
Student_1853,8th Grade,100,99,99.0,A
Student_264,8th Grade,50,39,78.0,B+
Student_1386,8th Grade,25,20,80.0,A
Student_1359,8th Grade,100,50,50.0,F
Student_720,8th Grade,25,22,88.0,A
Student_624,6th Grade,100,92,92.0,A
Student_1276,8th Grade,25,22,88.0,A
Student_1967,6th Grade,50,45,90.0,A
Student_1532,6th Grade,50,22,44.0,F
Student_1263,8th Grade,25,24,96.0,A
Student_352,6th Grade,50,40,80.0,A
Student_143,7th Grade,100,65,65.0,C+
